COD_CURSO,CURSO,CREDITOS,TIPO_CURSO,FAMILIA,AVG_NG,quartil-25-NG,quartil-75-NG,PRCTJE-NG-S,PRCTJE-NG-N,max_NG,min_NG,AVG_NPC,quartil-25-NPC,quartil-75-NPC,max_NPC,min_NPC,PRCTJE-NPC-S,PRCTJE-NPC-N
CS100,INTRODUCCION DE CIENCIA DE LA COMPUTACION,3,Obligatorio,CS,10.94265060240964,7.470000000000001,14.655000000000001,53.975903614457835,46.024096385542165,20.0,0.0,15.056190476190476,14.195,16.990000000000002,19.0,1.5,92.06349206349206,7.936507936507937
FG104,INTRODUCCION A LA FILOSOFIA,3,Obligatorio,FG,12.696209476309228,11.21,15.25,72.06982543640898,27.930174563591024,19.9,0.0,14.331641791044776,12.17,17.25,19.85,0.0,85.07462686567165,14.925373134328353
CS112,CIENCIA DE LA COMPUTACION I,5,Obligatorio,CS,10.946396181384248,7.4350000000000005,14.445,55.36992840095465,44.63007159904535,18.86,0.0,13.39088888888889,12.73,16.37,17.64,0.0,80.0,20.0
MA101,MATEMATICA II,4,Obligatorio,MA,12.890433333333334,11.105,15.21,73.66666666666667,26.33333333333333,19.72,0.0,13.454285714285714,10.96,16.03,18.75,4.26,73.01587301587301,26.984126984126988
CS221,ARQUITECTURA DE COMPUTADORES,3,Obligatorio,CS,12.02502994011976,11.51,14.28,75.44910179640718,24.550898203592823,18.79,0.0,13.298529411764704,12.302499999999998,15.2375,18.29,2.69,88.23529411764706,11.764705882352942
FG107,ANTROPOLOGIA FILOSOFICA Y TEOLOGICA,3,Obligatorio,FG,12.398612244897958,11.65,14.35,78.77551020408163,21.224489795918373,18.0,0.0,12.711818181818183,11.6525,15.3625,18.0,1.9,77.27272727272727,22.727272727272734
MA102,CALCULO I,4,Obligatorio,MA,11.810074074074075,9.755,14.695,68.14814814814815,31.851851851851848,19.18,0.0,11.940810810810813,11.0,13.81,17.6,2.2,70.27027027027027,29.729729729729726
FG202,APRECIACION LITERARIA,2,Electivo de Humanidades,FG,12.288037974683546,11.024999999999999,14.9525,72.78481012658227,27.215189873417728,18.8,0.0,15.42695652173913,13.655,17.465,19.36,10.16,91.30434782608695,8.695652173913047
FG102,METODOLOGIA DEL ESTUDIO,3,Obligatorio,FG,12.02117117117117,10.43,14.97,66.48648648648648,33.513513513513516,18.59,0.0,9.886190476190478,3.55,14.72,17.27,0.0,52.38095238095239,47.61904761904761
FG105,APRECIACION MUSICAL,2,Electivo de Humanidades,FG,14.092819148936169,13.0275,16.875,85.1063829787234,14.893617021276597,19.76,0.0,16.07333333333333,15.46,18.18,19.92,0.0,93.93939393939394,6.060606060606062
CS113,CIENCIA DE LA COMPUTACION II,4,Obligatorio,CS,11.80103092783505,10.015,14.239999999999998,66.49484536082474,33.50515463917526,20.0,0.0,13.398857142857144,12.7,16.229999999999997,20.0,2.48,80.0,20.0
CS1D2,ESTRUCTURAS DISCRETAS II,4,Obligatorio,CS,11.303968253968254,9.3,13.735,57.77777777777777,42.22222222222223,18.16,0.0,12.538245614035088,11.72,14.51,18.65,3.4,80.7017543859649,19.298245614035096
MA100,MATEMATICA I,5,Obligatorio,MA,9.40372118551043,5.725,12.98,39.95609220636663,60.04390779363337,20.0,0.0,8.546938775510204,2.18,13.75,20.0,0.0,42.857142857142854,57.142857142857146
FG103,INTRODUCCION A LA VIDA UNIVERSITARIA,3,Obligatorio,FG,13.322360515021458,12.1275,15.6475,82.40343347639485,17.596566523605148,19.2,0.0,11.011304347826087,5.880000000000001,15.725,17.74,0.0,60.86956521739131,39.13043478260869
FG101,COMUNICACION,3,Obligatorio,FG,11.519465408805031,10.5725,14.16,69.33962264150944,30.660377358490564,18.55,0.0,8.478529411764706,2.225,14.795,17.93,0.0,38.23529411764706,61.76470588235294
CS1D1,ESTRUCTURAS DISCRETAS I,4,Obligatorio,CS,9.19878453038674,4.96,13.2225,42.95580110497237,57.04419889502763,18.91,0.0,7.5910256410256425,1.975,12.48,16.75,0.0,35.8974358974359,64.1025641025641
CS111,PROGRAMACION DE VIDEO JUEGOS,4,Obligatorio,CS,10.370747663551402,6.7725,14.4225,48.90965732087228,51.09034267912772,19.85,0.0,9.968478260869563,5.42,13.690000000000001,20.0,0.0,60.86956521739131,39.13043478260869
CS231,DESARROLLO BASADO EN PLATAFORMAS,3,Obligatorio,CS,12.684432432432434,11.54,14.82,75.67567567567568,24.324324324324323,19.17,0.0,14.4921875,13.6325,15.802499999999998,18.56,10.27,90.625,9.375
CB111,FISICA COMPUTACIONAL,4,Obligatorio,CB,12.415050505050504,11.325,14.925,71.71717171717171,28.28282828282829,18.17,0.35,11.255454545454546,10.095,12.9475,16.65,2.06,59.09090909090909,40.90909090909091
