COD_ALUMNO,COD_CURSO,PER_MATRICULA,TIPO_CICLO,COD_GRUPO,GRUPO,NOTA,APROBO,HRS_INASISTENCIA,HRS_CURSO,PRCTJE_INASISTENCIA,PONDERADO
30765,CS100,2017-01,Regular,41206,CCOMP2-1,10.81,N,4,68,29,10.82
30765,FG104,2017-01,Regular,41207,CCOMP2-1,9.62,N,9,51,29,10.82
28283,CS112,2017-01,Regular,41216,CCOMP2-1.2,16.21,S,2,136,29,14.2667
28283,MA101,2017-01,Regular,41217,CCOMP2-1,14.53,S,14,102,29,14.2667
28283,CS221,2017-01,Regular,41210,CCOMP3-1,12.81,S,4,68,29,14.2667
28283,FG107,2017-01,Regular,41211,CCOMP3-1,15.16,S,0,51,29,14.2667
28283,MA102,2017-01,Regular,41222,CCOMP3-1,11.46,N,4,102,29,14.2667
28283,FG202,2017-01,Regular,40233,DER2-1,15.34,S,3,51,29,14.2667
31619,FG102,2017-01,Regular,41201,CCOMP1-3,15.33,S,4,68,29,16.3076
31619,FG105,2017-01,Regular,41208,CCOMP2-1,16.26,S,6,51,29,16.3076
31619,MA101,2017-01,Regular,41217,CCOMP2-1,15.13,S,8,102,29,16.3076
28798,CS113,2017-01,Regular,41220,CCOMP3-1,17.56,S,22,102,29,13.895
29901,CS1D2,2017-01,Regular,41603,CCOMP2-1.2,7.71,N,2,102,29,10.9638
28716,FG202,2017-01,Regular,39677,ADM3-2,2.36,N,27,51,29,10.7268
28663,CS112,2017-01,Regular,41216,CCOMP2-1.2,16.49,S,22,136,29,13.869
28663,MA102,2017-01,Regular,41222,CCOMP3-1,11.6,S,0,102,29,13.869
31527,MA100,2017-01,Regular,41193,CCOMP1-1,6.13,N,2,102,29,10.8927
31527,FG103,2017-01,Regular,41198,CCOMP1-1,16.4,S,0,51,29,10.8927
31527,FG102,2017-01,Regular,41199,CCOMP1-1,15.29,S,0,68,29,10.8927
31527,FG101,2017-01,Regular,41202,CCOMP1-1,13.48,S,0,68,29,10.8927
31635,CS1D1,2017-01,Regular,41180,CCOMP1-1,4.25,N,6,102,29,9.9623
31635,CS111,2017-01,Regular,41185,CCOMP1-1.1,6.43,N,6,102,29,9.9623
31635,MA100,2017-01,Regular,41193,CCOMP1-1,10.48,N,2,102,29,9.9623
31635,FG103,2017-01,Regular,41198,CCOMP1-1,13.6,S,0,51,29,9.9623
31635,FG102,2017-01,Regular,41199,CCOMP1-1,14.31,S,2,68,29,9.9623
31635,FG101,2017-01,Regular,41202,CCOMP1-1,13.44,S,0,68,29,9.9623
31710,CS1D1,2017-01,Regular,41180,CCOMP1-1,1.19,N,20,102,29,6.9245
31710,CS111,2017-01,Regular,41185,CCOMP1-1.1,2.84,N,46,102,29,6.9245
31710,MA100,2017-01,Regular,41193,CCOMP1-1,2.77,N,46,102,29,6.9245
31710,FG103,2017-01,Regular,41198,CCOMP1-1,14.85,S,6,51,29,6.9245
31710,FG102,2017-01,Regular,41199,CCOMP1-1,12.5,S,14,68,29,6.9245
31710,FG101,2017-01,Regular,41202,CCOMP1-1,13.44,S,10,68,29,6.9245
28677,FG105,2017-01,Regular,39928,CONT2-1,11.6,S,6,51,29,12.0625
